bridge_terms,activity,uncertain_activity,category,competitors
bridge,inspection,rehabilitation,Professional engineering services,Onsite
bridges,inspections,rehabilitations,Engineering services,Westrek
culvert,design,rehabilitate,Civil engineering,AECOM
culverts,designs,retrofit,Structural engineering,All North
overpass,detailed design,retrofits,Transportation engineering,Allnorth
overpasses,preliminary design,seismic retrofit,Consulting engineering,Allnorth Consultants
underpass,analysis,seismic retrofits,Engineering consulting,Associated Engineering
underpasses,analyses,seismic assessment,Engineering and design services,GHD
viaduct,assessment,seismic assessments,,Hatch
viaducts,assessments,seismic upgrade,,ISI System Solutions
deck,condition assessment,seismic upgrades,,ISL Engineering and Land Services
decks,condition assessments,replacement,,ISL Engineering
bridge deck,structural assessment,replacements,,Jacobs
bridge beam,structural assessments,upgrade,,McElhanney
bridge beams,engineering assessment,upgrades,,Morrison Hershfield
abutment,engineering assessments,renewal,,Mott MacDonald
abutments,evaluation,renewals,,Onsite Engineering
pier,evaluations,strengthening,,Stantec
piers,load rating,monitoring,,T.Y. Lin
wingwall,load ratings,monitorings,,TYLin
wingwalls,load evaluation,structural health monitoring,,WSP
headwall,load evaluations,maintenance,,Parsons
headwalls,review,maintenances,,BASIS
bearing,reviews,feasibility study,,Spannovation
bearings,peer review,feasibility studies,,CIMA
bridge bearing,peer reviews,engineering study,,DILLON
bridge bearings,investigation,engineering studies,,Arup
expansion joint,investigations,construction administration,,
expansion joints,field investigation,construction administrations,,
parapet,field investigations,construction supervision,,
bridge rail,site investigation,construction supervisions,,
bridge barrier,site investigations,engineer,,
traffic barrier,contract administration,,,
retaining wall,contract administrations,,,
retaining walls,seismic assessment,,,
grade separation,structural health monitoring,,,
river crossing,feasibility study,,,
stream crossing,engineering study,,,
watercourse crossing,,,,
highway structure,,,,
highway structures,,,,
transportation structure,,,,
transportation structures,,,,
